st_case,state,year,month,day,day_week,hour,minute,county,city,fatals_crash,vehicles_total,vehicles_in_transport,persons_total,route,rural_urban,functional_system,road_owner,nhs,special_jurisdiction,milepoint,latitude,longitude,first_harmful_event,manner_collision,rel_jct_interchange,rel_jct_location,intersection_type,relation_to_road,work_zone,light_condition,weather,school_bus_related,ems_notified_hour,ems_notified_min,ems_arrival_hour,ems_arrival_min,hospital_hour,hospital_min
10123,1,2020,3,2,2,22,35,73,0,1,1,1,2,3,2,3,1,1,0,79,33.61901389,-86.73861944,9,0,0,1,1,1,0,3,10,0,22,36,22,48,,
10124,1,2020,3,2,2,7,10,121,0,1,2,2,21,3,1,3,1,1,0,2383,33.50519167,-86.00268056,12,6,0,1,1,1,0,1,2,1,7,10,7,20,,
10125,1,2020,3,2,2,23,30,121,0,1,1,1,1,4,1,5,2,0,0,0,33.34549722,-86.23196389,17,0,0,1,1,4,0,2,2,0,,,6,55,,
10126,1,2020,3,2,2,11,50,133,0,1,1,1,1,2,1,3,1,1,0,545,34.18701667,-87.21153611,59,0,0,1,1,4,0,1,2,0,,,,,,
10127,1,2020,3,2,2,12,0,95,0,2,2,2,4,3,1,4,1,0,0,2745,34.36176667,-86.40290278,12,6,0,1,1,1,0,1,2,0,12,11,12,15,13,21
10128,1,2020,3,3,3,21,42,81,200,2,2,2,3,6,2,5,4,0,0,0,32.61203333,-85.45984444,12,6,0,1,1,1,0,3,10,0,21,46,21,58,22,47
10129,1,2020,3,3,3,18,7,79,2150,1,2,2,2,3,1,3,1,1,0,398,34.51545,-87.29174444,12,6,0,2,2,1,0,3,10,0,18,7,18,10,,
10130,1,2020,3,3,3,15,9,113,0,1,2,2,2,3,2,4,1,0,0,290,32.37499722,-85.03712778,12,6,0,1,1,1,0,1,10,0,15,16,15,37,16,10
10131,1,2020,3,3,3,19,35,29,0,1,2,2,1,2,1,4,1,0,0,1839,33.72114722,-85.49009722,8,0,0,1,1,1,0,2,10,0,19,44,19,51,,
10132,1,2020,3,3,3,13,15,51,0,1,1,1,1,4,1,5,2,0,0,0,32.67768889,-86.30459444,42,0,0,1,1,4,0,1,2,0,,,,,,
10133,1,2020,3,3,3,5,30,73,350,1,2,2,2,3,2,3,1,1,0,0,33.55145833,-86.88343611,12,1,0,1,1,1,0,3,2,0,5,44,5,48,,
10134,1,2020,3,4,4,13,40,23,0,1,1,1,1,4,1,7,2,0,0,0,32.00333333,-88.34351667,34,0,0,1,1,4,0,1,2,0,,,,,,
10135,1,2020,3,4,4,12,18,115,0,1,2,2,2,2,1,5,1,0,0,1840,33.945475,-86.19660833,12,2,0,1,1,1,0,1,2,0,12,18,12,41,,
10136,1,2020,3,5,5,7,58,127,0,1,1,1,1,4,1,5,2,0,0,0,33.81730278,-87.05041944,42,0,0,1,1,4,0,1,10,0,,,8,12,,
10137,1,2020,3,6,6,12,26,17,1100,1,1,1,1,2,2,4,1,0,0,2070,32.81508056,-85.17124722,52,0,0,1,1,4,0,1,1,0,12,28,12,31,12,40
10138,1,2020,3,6,6,16,25,7,0,2,2,2,2,2,1,3,1,1,0,763,33.00176667,-87.23998333,12,2,0,1,1,1,0,1,1,0,16,25,16,45,,
10139,1,2020,3,6,6,12,15,33,1915,1,1,1,1,2,2,3,1,1,0,3008,34.57082778,-87.68378889,34,0,0,1,1,3,0,1,1,0,12,18,12,28,13,1
10140,1,2020,3,6,6,17,17,73,1807,1,3,3,3,2,2,4,1,0,0,2750,33.60575833,-86.79755833,12,6,0,2,2,1,0,5,1,0,17,17,17,20,,
10141,1,2020,3,7,7,22,0,127,0,1,2,2,5,3,1,4,1,0,0,2177,33.90846944,-87.09305278,24,0,0,1,1,4,2,2,10,0,22,0,22,20,,
10142,1,2020,3,7,7,20,0,69,0,1,1,1,1,3,1,4,1,0,0,733,31.25620278,-85.24524167,38,0,0,1,1,4,0,2,1,0,20,6,20,15,20,38
10143,1,2020,3,9,2,21,45,59,0,1,1,1,2,4,1,5,2,0,0,0,34.57061667,-87.91744167,42,0,0,1,1,4,0,2,10,0,21,57,22,42,23,34
10144,1,2020,3,9,2,11,30,121,0,1,1,1,2,4,1,5,2,0,0,0,33.56416111,-86.03959722,30,0,0,1,1,4,0,1,1,0,11,36,11,48,,
10145,1,2020,3,9,2,21,35,49,0,1,1,1,1,3,1,4,1,0,0,152,34.25106667,-86.10591111,35,0,0,1,1,4,0,2,1,0,,,22,0,,
10146,1,2020,3,10,3,11,45,61,0,1,2,2,3,4,1,5,2,0,0,0,31.04494444,-85.53697778,12,6,0,2,2,1,0,1,10,0,11,45,11,59,,
10147,1,2020,3,11,4,0,9,101,0,1,2,2,2,2,1,3,1,1,0,1134,32.43943889,-86.21697222,12,2,0,1,1,1,0,3,1,0,0,9,0,12,,
10148,1,2020,3,11,4,9,10,73,0,1,2,2,4,4,1,5,2,0,0,0,33.78340833,-86.97199722,12,2,0,1,1,1,0,1,10,0,,,,,,
10149,1,2020,3,11,4,6,30,103,0,1,1,1,1,4,1,5,2,0,0,0,34.47243333,-87.01998056,30,0,0,1,1,4,0,4,1,0,,,10,15,,
