st_case,veh_no,per_no,person_type,inj_sev,seat_pos,rest_use,air_bag,ejection,doa,make,car_year,model,body_class,min_veh_weight,max_veh_weight,fatal,num_occupants,deaths_in_vehicle,vehicle_age,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour,drive_type_id,drive_train,overall_front_safetyrating,front_passenger_safetyrating,front_driver_safetyrating,rollover_risk,curb_weight,car_height,car_width,car_length
10267,2,3,2,0,21,3,20,0,0,DODGE,2014,AVENGER,Sedan/Saloon,11,11,0,5,0,9,1,13,53,0,17,18,1,FWD,4,3,5,0.118,1529,1483,1849,4938
10267,2,4,2,0,22,20,20,0,0,DODGE,2014,AVENGER,Sedan/Saloon,11,11,0,5,0,9,1,13,53,0,17,18,1,FWD,4,3,5,0.118,1529,1483,1849,4938
10267,2,5,2,0,23,12,20,0,0,DODGE,2014,AVENGER,Sedan/Saloon,11,11,0,5,0,9,1,13,53,0,17,18,1,FWD,4,3,5,0.118,1529,1483,1849,4938
10274,1,1,1,4,11,3,20,0,7,JEEP,2017,PATRIOT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,NA,NA,NA,1,1,34,0,14,19,2,4WD,3,4,3,0.219,1544,1664,1758,4415
10278,1,1,1,4,11,NA,20,0,7,FORD,1999,MUSTANG,Convertible/Cabriolet,11,11,1,1,1,24,1,2,12,6,6,NA,NA,NA,NA,4,4,0,1458,1354,1826,4653
10279,4,1,1,4,11,3,1,0,7,HONDA,2003,ACCORD,Coupe,11,11,1,1,1,20,1,4,12,6,17,NA,NA,NA,NA,5,5,0,1390,1440,1760,4735
10296,1,1,1,4,11,20,1,1,0,FORD,2001,FOCUS,Hatchback/Liftback/Notchback,11,11,1,2,1,22,1,3,12,6,10,10,NA,NA,NA,4.5,4.5,0,1152,1430,1699,4173
10296,1,2,2,3,13,20,20,1,0,FORD,2001,FOCUS,Hatchback/Liftback/Notchback,11,11,0,2,1,22,1,3,12,6,10,10,NA,NA,NA,4.5,4.5,0,1152,1430,1699,4173
10303,2,1,1,3,11,3,NA,0,0,GMC,2004,ENVOY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,1,0,19,1,2,12,2,21,21,NA,NA,NA,3,3,0.191,2015,1847,1897,4867
10305,1,1,1,4,11,NA,NA,0,0,CHEVROLET,2007,SUBURBAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,1,1,1,16,1,3,12,98,18,18,7,RWD,NA,5,5,0.237,2470,1953,2007,5649
10311,1,1,1,3,11,3,NA,0,0,DODGE,2015,CHALLENGER,Coupe,11,11,0,2,0,8,1,4,12,2,17,17,4,RWD,4,5,4,0.111,1847,1450,1923,5027
10311,1,2,2,3,13,20,NA,0,0,DODGE,2015,CHALLENGER,Coupe,11,11,0,2,0,8,1,4,12,2,17,17,4,RWD,4,5,4,0.111,1847,1450,1923,5027
10324,2,1,1,0,11,3,20,0,0,NISSAN,2015,VERSA,Sedan/Saloon,11,11,0,NA,NA,NA,1,3,30,0,11,11,1,FWD,3,3,4,0.147,1093,1514,1694,4455
10326,1,1,1,2,11,20,20,0,0,FORD,1996,EXPLORER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,0,2,1,27,1,2,1,0,21,22,NA,NA,NA,4,4,0,1960,1727,1783,4788
10326,1,2,2,4,13,20,20,1,7,FORD,1996,EXPLORER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,2,1,27,1,2,1,0,21,22,NA,NA,NA,4,4,0,1960,1727,1783,4788
10329,1,1,1,4,11,20,20,1,0,CHEVROLET,2003,TRAILBLAZER,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,1,1,20,1,1,42,0,2,2,NA,NA,NA,3,3,0,1959,1778,1897,4872
10331,1,1,1,4,11,20,NA,1,0,HONDA,2000,ACCORD,Sedan/Saloon,11,11,1,2,1,23,1,2,35,0,1,2,NA,NA,NA,4,4,0,1360,1440,1786,4764
10331,1,2,2,3,13,20,NA,0,0,HONDA,2000,ACCORD,Sedan/Saloon,11,11,0,2,1,23,1,2,35,0,1,2,NA,NA,NA,4,4,0,1360,1440,1786,4764
10332,2,1,1,0,11,3,99,0,0,NISSAN,1998,SENTRA,Sedan/Saloon,11,11,0,NA,NA,NA,1,2,12,1,14,14,NA,NA,NA,4,3,0,1130,1389,1700,4330
10335,1,1,1,4,11,3,NA,0,7,TOYOTA,2017,COROLLA,Sedan/Saloon,11,11,1,1,1,6,1,1,42,0,6,6,1,FWD,4,4,5,0.118,1295,1455,1775,4651
10340,1,1,1,4,11,20,20,0,7,INFINITI,2002,G20,Sedan/Saloon,11,11,1,1,1,21,1,1,1,0,0,0,NA,NA,NA,NA,NA,0,1335,1415,1710,4575
10343,1,1,1,4,11,3,1,0,7,MITSUBISHI,2019,MIRAGE,Hatchback/Liftback/Notchback,11,11,1,1,1,4,1,5,12,6,19,19,1,FWD,4,4,4,0.164,950,1510,1665,3795
